W T
16861.6 0.558665
16864.9 0.558615
16868.2 0.558565
16871.5 0.558516
16874.8 0.558467
16878.1 0.558417
16881.4 0.558368
16884.7 0.558319
16888 0.558269
16891.3 0.55822
16894.6 0.558171
16897.9 0.558122
16901.2 0.558073
16904.4 0.558024
16907.7 0.557975
16911 0.557926
16914.3 0.557877
16917.6 0.557828
16920.9 0.55778
16924.2 0.557731
16927.5 0.557682
16930.8 0.557634
16934.1 0.557585
16937.4 0.557537
16940.7 0.557488
16944 0.55744
16947.3 0.557392
16950.6 0.557343
16953.9 0.557295
16957.2 0.557247
16960.5 0.557199
16963.8 0.557151
16967.1 0.557103
16970.3 0.557055
16973.6 0.557007
16976.9 0.556959
16980.2 0.556911
16983.5 0.556863
16986.8 0.556815
16990.1 0.556768
16993.4 0.55672
16996.7 0.556672
17000 0.556625
17003.3 0.556577
17006.6 0.55653
17009.9 0.556482
17013.2 0.556435
17016.5 0.556388
17019.8 0.55634
17023.1 0.556293
17026.4 0.556246
17029.7 0.556199
17032.9 0.556152
17036.2 0.556105
17039.5 0.556058
17042.8 0.556011
17046.1 0.555964
17049.4 0.555917
17052.7 0.55587
17056 0.555823
17059.3 0.555776
17062.6 0.55573
17065.9 0.555683
17069.2 0.555636
17072.5 0.55559
17075.8 0.555543
17079.1 0.555497
17082.4 0.55545
17085.7 0.555404
17089 0.555358
17092.3 0.555311
17095.6 0.555265
17098.8 0.555219
17102.1 0.555173
17105.4 0.555127
17108.7 0.55508
17112 0.555034
17115.3 0.554988
17118.6 0.554942
17121.9 0.554896
17125.2 0.55485
17128.5 0.554805
17131.8 0.554759
17135.1 0.554713
17138.4 0.554667
17141.7 0.554622
17145 0.554576
17148.3 0.55453
17151.6 0.554485
17154.9 0.554439
17158.2 0.554394
17161.4 0.554348
17164.7 0.554303
17168 0.554257
17171.3 0.554212
17174.6 0.554166
17177.9 0.554121
17181.2 0.554076
17184.5 0.554031
17187.8 0.553985
17191.1 0.55394
17194.4 0.553895
17197.7 0.55385
17201 0.553805
17204.3 0.55376
17207.6 0.553715
17210.9 0.55367
17214.2 0.553625
17217.5 0.55358
17220.8 0.553535
17224.1 0.55349
17227.3 0.553445
17230.6 0.5534
17233.9 0.553355
17237.2 0.553311
17240.5 0.553266
17243.8 0.553221
17247.1 0.553176
17250.4 0.553131
17253.7 0.553087
17257 0.553042
17260.3 0.552997
17263.6 0.552953
17266.9 0.552908
17270.2 0.552863
17273.5 0.552819
17276.8 0.552774
17280.1 0.55273
17283.4 0.552685
17286.7 0.55264
17290 0.552596
17293.2 0.552551
17296.5 0.552507
17299.8 0.552462
17303.1 0.552417
17306.4 0.552373
17309.7 0.552328
17313 0.552284
17316.3 0.552239
17319.6 0.552194
17322.9 0.55215
17326.2 0.552105
17329.5 0.55206
17332.8 0.552015
17336.1 0.551971
17339.4 0.551926
17342.7 0.551881
17346 0.551836
17349.3 0.551791
17352.6 0.551746
17355.8 0.551701
17359.1 0.551655
17362.4 0.55161
17365.7 0.551565
17369 0.551519
17372.3 0.551474
17375.6 0.551428
17378.9 0.551382
17382.2 0.551336
17385.5 0.551289
17388.8 0.551243
17392.1 0.551196
17395.4 0.551148
17398.7 0.551101
17402 0.551052
17405.3 0.551003
17408.6 0.550953
17411.9 0.550902
17415.2 0.550839
17418.5 0.550764
17421.7 0.550691
17425 0.550621
17428.3 0.550551
17431.6 0.550482
17434.9 0.550414
17438.2 0.550346
17441.5 0.550279
17444.8 0.550212
17448.1 0.550146
17451.4 0.55008
17454.7 0.550014
17458 0.549949
17461.3 0.549884
17464.6 0.549819
17467.9 0.549755
17471.2 0.549691
17474.5 0.549627
17477.8 0.549563
17481.1 0.5495
17484.3 0.549437
17487.6 0.549374
17490.9 0.549311
17494.2 0.549249
17497.5 0.549187
17500.8 0.549125
17504.1 0.549063
17507.4 0.549002
17510.7 0.54894
17514 0.548879
17517.3 0.548818
17520.6 0.548757
17523.9 0.548697
17527.2 0.548636
17530.5 0.548576
17533.8 0.548516
17537.1 0.548456
17540.4 0.548396
17543.7 0.548337
17547 0.548277
17550.2 0.548218
17553.5 0.548159
17556.8 0.5481
17560.1 0.548042
17563.4 0.547983
17566.7 0.547925
17570 0.547866
17573.3 0.547808
17576.6 0.54775
17579.9 0.547693
17583.2 0.547635
17586.5 0.547578
17589.8 0.54752
17593.1 0.547463
17596.4 0.547406
17599.7 0.547349
17603 0.547293
17606.3 0.547236
17609.6 0.54718
17612.9 0.547123
17616.1 0.547067
17619.4 0.547011
17622.7 0.546955
17626 0.5469
17629.3 0.546844
17632.6 0.546789
17635.9 0.546734
17639.2 0.546678
17642.5 0.546623
17645.8 0.546569
17649.1 0.546514
17652.4 0.546459
17655.7 0.546405
17659 0.546351
17662.3 0.546297
17665.6 0.546243
17668.9 0.546189
17672.2 0.546135
17675.5 0.546082
17678.7 0.546028
17682 0.545975
17685.3 0.545922
17688.6 0.545869
17691.9 0.545816
17695.2 0.545763
17698.5 0.545711
17701.8 0.545659
17705.1 0.545606
17708.4 0.545554
17711.7 0.545502
17715 0.54545
17718.3 0.545399
17721.6 0.545347
17724.9 0.545296
17728.2 0.545245
17731.5 0.545193
17734.8 0.545143
17738.1 0.545092
17741.4 0.545041
17744.6 0.544991
17747.9 0.54494
17751.2 0.54489
17754.5 0.54484
17757.8 0.54479
17761.1 0.54474
17764.4 0.544691
17767.7 0.544641
17771 0.544592
17774.3 0.544543
17777.6 0.544494
17780.9 0.544445
17784.2 0.544397
17787.5 0.544348
17790.8 0.5443
17794.1 0.544252
17797.4 0.544204
17800.7 0.544156
17804 0.544108
17807.2 0.544061
17810.5 0.544013
17813.8 0.543966
17817.1 0.543919
17820.4 0.543872
