W TT
14558.8 0.000898776
14563.8 0.000907121
14568.9 0.000914838
14573.9 0.000921915
14578.9 0.000928324
14584 0.000934026
14589 0.000938962
14594.1 0.000942834
14599.1 0.000944121
14604.2 0.000944857
14609.2 0.000944917
14614.3 0.000944268
14619.3 0.000942899
14624.4 0.000940823
14629.4 0.000938097
14634.5 0.000934908
14639.5 0.000936366
14644.6 0.000938986
14649.6 0.000940203
14654.7 0.000940166
14659.7 0.000938939
14664.7 0.000936557
14669.8 0.000933047
14674.8 0.000928411
14679.9 0.000922243
14684.9 0.000912972
14690 0.000903118
14695 0.000892621
14700.1 0.000881514
14705.1 0.000869853
14710.2 0.000857708
14715.2 0.000845165
14720.3 0.000832354
14725.3 0.000821061
14730.4 0.000810354
14735.4 0.000799172
14740.4 0.000787644
14745.5 0.000775857
14750.5 0.00076388
14755.6 0.000751774
14760.6 0.00073958
14765.7 0.000727284
14770.7 0.000713768
14775.8 0.000700479
14780.8 0.000687429
14785.9 0.000674618
14790.9 0.000662048
14796 0.000649711
14801 0.000637577
14806.1 0.000625557
14811.1 0.000611783
14816.1 0.000595401
14821.2 0.000579973
14826.2 0.000565287
14831.3 0.000551252
14836.3 0.000537813
14841.4 0.000524925
14846.4 0.000512555
14851.5 0.000500684
14856.5 0.000489726
14861.6 0.000479335
14866.6 0.000469239
14871.7 0.000459428
14876.7 0.000449888
14881.8 0.000440601
14886.8 0.000431553
14891.9 0.000422731
14896.9 0.000414139
14901.9 0.000406079
14907 0.000398189
14912 0.000390424
14917.1 0.000382784
14922.1 0.000375268
14927.2 0.000367876
14932.2 0.000360611
14937.3 0.000353483
14942.3 0.000346549
14947.4 0.000340409
14952.4 0.000334247
14957.5 0.000328126
14962.5 0.000322064
14967.6 0.000316074
14972.6 0.000310167
14977.6 0.000304363
14982.7 0.000298692
14987.7 0.000293478
14992.8 0.000289271
14997.8 0.000284941
15002.9 0.000280571
15007.9 0.000276185
15013 0.000271798
15018 0.000267419
15023.1 0.000263054
15028.1 0.000258701
15033.2 0.000254256
15038.2 0.000249675
15043.3 0.000245197
15048.3 0.000240805
15053.4 0.000236498
15058.4 0.000232276
15063.4 0.000228141
15068.5 0.000224093
15073.5 0.000220137
15078.6 0.000216304
15083.6 0.000212598
15088.7 0.00020896
15093.7 0.000205396
15098.8 0.000201904
15103.8 0.000198484
15108.9 0.000195131
15113.9 0.000191838
15119 0.000188588
15124 0.000185225
15129.1 0.000181738
15134.1 0.000178407
15139.1 0.000175197
15144.2 0.000172093
15149.2 0.000169086
15154.3 0.000166168
15159.3 0.00016333
15164.4 0.000160559
15169.4 0.000157779
15174.5 0.000154953
15179.5 0.000152253
15184.6 0.000149651
15189.6 0.000147137
15194.7 0.000144703
15199.7 0.000142339
15204.8 0.00014004
15209.8 0.000137792
15214.9 0.00013556
15219.9 0.000133239
15224.9 0.000131038
15230 0.000128919
15235 0.000126874
15240.1 0.000124894
15245.1 0.000122975
15250.2 0.000121111
15255.2 0.000119296
15260.3 0.000117519
15265.3 0.000115726
15270.4 0.000114004
15275.4 0.000112343
15280.5 0.000110737
15285.5 0.000109185
15290.6 0.000107683
15295.6 0.000106234
15300.6 0.000104838
15305.7 0.000103505
15310.7 0.000102325
15315.8 0.000101168
15320.8 0.000100019
15325.9 9.8888e-05
15330.9 9.77785e-05
15336 9.66931e-05
15341 9.56346e-05
15346.1 9.46068e-05
15351.1 9.36179e-05
15356.2 9.27352e-05
15361.2 9.19021e-05
15366.3 9.10512e-05
15371.3 9.01981e-05
15376.4 8.93479e-05
15381.4 8.85031e-05
15386.4 8.7665e-05
15391.5 8.68339e-05
15396.5 8.6009e-05
15401.6 8.5184e-05
15406.6 8.43382e-05
15411.7 8.35248e-05
15416.7 8.27349e-05
15421.8 8.19668e-05
15426.8 8.12208e-05
15431.9 8.04976e-05
15436.9 7.97994e-05
15442 7.91302e-05
15447 7.85012e-05
15452.1 7.79897e-05
15457.1 7.74721e-05
15462.1 7.69358e-05
15467.2 7.63929e-05
15472.2 7.58476e-05
15477.3 7.53016e-05
15482.3 7.47551e-05
15487.4 7.42066e-05
15492.4 7.36514e-05
15497.5 7.30613e-05
15502.5 7.24208e-05
15507.6 7.18405e-05
15512.6 7.12932e-05
15517.7 7.07735e-05
15522.7 7.02794e-05
15527.8 6.98108e-05
15532.8 6.9369e-05
15537.9 6.89579e-05
15542.9 6.859e-05
15547.9 6.83489e-05
15553 6.80921e-05
15558 6.781e-05
15563.1 6.75166e-05
15568.1 6.72169e-05
15573.2 6.69129e-05
15578.2 6.66055e-05
15583.3 6.62939e-05
15588.3 6.59758e-05
15593.4 6.56406e-05
15598.4 6.52632e-05
15603.5 6.49169e-05
15608.5 6.45847e-05
15613.6 6.42622e-05
15618.6 6.39471e-05
15623.6 6.36372e-05
15628.7 6.33306e-05
15633.7 6.30245e-05
15638.8 6.27133e-05
15643.8 6.23607e-05
15648.9 6.2007e-05
15653.9 6.16832e-05
15659 6.13776e-05
15664 6.10866e-05
15669.1 6.08086e-05
15674.1 6.0543e-05
15679.2 6.02905e-05
15684.2 6.00539e-05
15689.3 5.98423e-05
15694.3 5.97212e-05
15699.4 5.95789e-05
15704.4 5.94093e-05
15709.4 5.92218e-05
15714.5 5.90188e-05
15719.5 5.88005e-05
15724.6 5.85657e-05
15729.6 5.83111e-05
15734.7 5.80296e-05
15739.7 5.76991e-05
15744.8 5.7224e-05
15749.8 5.68069e-05
15754.9 5.64184e-05
15759.9 5.60456e-05
15765 5.56829e-05
15770 5.53272e-05
15775.1 5.49767e-05
15780.1 5.4631e-05
15785.1 5.4291e-05
15790.2 5.3966e-05
15795.2 5.3684e-05
15800.3 5.33693e-05
15805.3 5.30354e-05
15810.4 5.26844e-05
15815.4 5.23164e-05
15820.5 5.19301e-05
15825.5 5.15234e-05
15830.6 5.10928e-05
15835.6 5.0631e-05
15840.7 5.01081e-05
15845.7 4.9489e-05
15850.8 4.89131e-05
15855.8 4.83458e-05
15860.9 4.77798e-05
15865.9 4.72116e-05
15870.9 4.66394e-05
15876 4.60632e-05
15881 4.54846e-05
15886.1 4.491e-05
15891.1 4.43807e-05
15896.2 4.39018e-05
15901.2 4.33322e-05
15906.3 4.27053e-05
15911.3 4.20264e-05
15916.4 4.12967e-05
15921.4 4.05155e-05
15926.5 3.96808e-05
15931.5 3.87891e-05
15936.6 3.78337e-05
15941.6 3.67892e-05
15946.6 3.56707e-05
15951.7 3.45521e-05
15956.7 3.34052e-05
15961.8 3.22235e-05
15966.8 3.10037e-05
15971.9 2.9744e-05
15976.9 2.84434e-05
15982 2.71024e-05
15987 2.57244e-05
15992.1 2.43267e-05
15997.1 2.28636e-05
16002.2 2.12743e-05
16007.2 1.95942e-05
16012.3 1.78283e-05
16017.3 1.59785e-05
16022.4 1.40457e-05
16027.4 1.20304e-05
16032.4 9.93277e-06
16037.5 7.75288e-06
16042.5 5.48827e-06
16047.6 3.17323e-06
16052.6 8.21154e-07
16057.7 -1.58707e-06
16062.7 -4.05048e-06
16067.8 -6.56624e-06
16072.8 -9.13049e-06
16077.9 -1.17385e-05
16082.9 -1.43848e-05
16088 -1.70628e-05
16093 -1.97646e-05
16098.1 -2.25163e-05
16103.1 -2.53257e-05
16108.1 -2.81463e-05
16113.2 -3.09665e-05
16118.2 -3.37744e-05
16123.3 -3.65577e-05
16128.3 -3.93037e-05
16133.4 -4.19989e-05
16138.4 -4.46292e-05
16143.5 -4.718e-05
16148.5 -4.96225e-05
16153.6 -5.19099e-05
16158.6 -5.4071e-05
16163.7 -5.60914e-05
16168.7 -5.79567e-05
16173.8 -5.96527e-05
16178.8 -6.11657e-05
16183.9 -6.24827e-05
16188.9 -6.35911e-05
16193.9 -6.44798e-05
16199 -6.51384e-05
16204 -6.55664e-05
16209.1 -6.57469e-05
16214.1 -6.56727e-05
16219.2 -6.53387e-05
16224.2 -6.47416e-05
16229.3 -6.38795e-05
16234.3 -6.27522e-05
16239.4 -6.13612e-05
16244.4 -5.97093e-05
16249.5 -5.78009e-05
16254.5 -5.56292e-05
16259.6 -5.32096e-05
16264.6 -5.05631e-05
16269.6 -4.76994e-05
16274.7 -4.46296e-05
16279.7 -4.13658e-05
16284.8 -3.79207e-05
16289.8 -3.43077e-05
16294.9 -3.05407e-05
16299.9 -2.66334e-05
16305 -2.25994e-05
16310 -1.84526e-05
16315.1 -1.42139e-05
16320.1 -9.89598e-06
16325.2 -5.51193e-06
16330.2 -1.07459e-06
16335.3 3.40367e-06
16340.3 7.91101e-06
16345.3 1.24362e-05
16350.4 1.69684e-05
16355.4 2.14978e-05
16360.5 2.60031e-05
16365.5 3.04668e-05
16370.6 3.48963e-05
16375.6 3.9285e-05
16380.7 4.36267e-05
16385.7 4.7916e-05
16390.8 5.21478e-05
16395.8 5.6318e-05
16400.9 6.04228e-05
16405.9 6.44592e-05
16411 6.84256e-05
16416 7.23539e-05
16421.1 7.62151e-05
16426.1 8e-05
16431.1 8.37074e-05
16436.2 8.73361e-05
16441.2 9.08852e-05
16446.3 9.43539e-05
16451.3 9.77416e-05
16456.4 0.000101048
16461.4 0.000104271
16466.5 0.0001074
16471.5 0.000110374
16476.6 0.000113272
16481.6 0.000116093
16486.7 0.000118836
16491.7 0.000121502
16496.8 0.000124093
16501.8 0.00012661
16506.8 0.000129055
16511.9 0.00013143
16516.9 0.000133739
16522 0.000136027
16527 0.000138316
16532.1 0.000140533
16537.1 0.000142682
16542.2 0.000144765
16547.2 0.000146783
16552.3 0.000148739
16557.3 0.000150634
16562.4 0.000152467
16567.4 0.000154239
16572.5 0.00015595
16577.5 0.000157545
16582.6 0.000159045
16587.6 0.000160498
16592.6 0.000161902
16597.7 0.000163257
16602.7 0.000164565
16607.8 0.000165827
16612.8 0.000167044
16617.9 0.000168218
16622.9 0.00016935
16628 0.000170446
16633 0.000171568
16638.1 0.00017268
16643.1 0.000173746
16648.2 0.000174769
16653.2 0.000175752
16658.3 0.000176696
16663.3 0.000177601
16668.3 0.00017847
16673.4 0.000179303
16678.4 0.000180102
16683.5 0.000180869
16688.5 0.000181631
16693.6 0.000182372
16698.6 0.000183078
16703.7 0.000183751
16708.7 0.000184391
16713.8 0.000184999
16718.8 0.000185576
16723.9 0.000186123
16728.9 0.000186639
16734 0.000187124
16739 0.000187577
16744.1 0.000187942
16749.1 0.00018825
16754.1 0.00018854
16759.2 0.000188809
16764.2 0.000189058
16769.3 0.000189286
16774.3 0.000189494
16779.4 0.000189684
16784.4 0.000189856
16789.5 0.000190011
16794.5 0.000190153
16799.6 0.000190342
16804.6 0.000190569
16809.7 0.000190769
16814.7 0.000190947
16819.8 0.000191103
16824.8 0.00019124
16829.8 0.000191358
16834.9 0.000191457
16839.9 0.000191537
16845 0.0001916
16850 0.000191642
16855.1 0.000191636
16860.1 0.000191542
16865.2 0.000191444
16870.2 0.000191339
16875.3 0.000191226
16880.3 0.000191105
16885.4 0.000190976
16890.4 0.000190841
16895.5 0.000190699
16900.5 0.000190552
16905.6 0.000190403
16910.6 0.000190256
16915.6 0.000190206
16920.7 0.000190145
16925.7 0.000190073
16930.8 0.000189993
16935.8 0.000189905
16940.9 0.000189812
16945.9 0.000189712
16951 0.000189609
16956 0.000189501
16961.1 0.000189389
16966.1 0.000189274
16971.2 0.000189146
16976.2 0.00018901
16981.3 0.000188875
16986.3 0.000188741
16991.3 0.000188608
16996.4 0.000188476
17001.4 0.000188346
17006.5 0.000188217
17011.5 0.000188092
17016.6 0.000187969
17021.6 0.000187847
17026.7 0.000187717
17031.7 0.000187543
17036.8 0.000187381
17041.8 0.000187228
17046.9 0.000187084
17051.9 0.000186948
17057 0.000186822
17062 0.000186705
17067.1 0.000186598
17072.1 0.000186502
17077.1 0.000186416
17082.2 0.000186344
17087.2 0.000186317
17092.3 0.000186313
17097.3 0.000186317
17102.4 0.00018633
17107.4 0.000186352
17112.5 0.000186383
17117.5 0.000186425
17122.6 0.000186476
17127.6 0.000186538
17132.7 0.000186609
17137.7 0.00018669
17142.8 0.000186777
17147.8 0.000186838
17152.8 0.000186914
17157.9 0.000187002
17162.9 0.000187102
17168 0.000187213
17173 0.000187335
17178.1 0.000187468
17183.1 0.00018761
17188.2 0.000187761
17193.2 0.000187921
17198.3 0.000188086
17203.3 0.000188222
17208.4 0.00018832
17213.4 0.000188435
17218.5 0.000188561
17223.5 0.000188699
17228.6 0.000188848
17233.6 0.000189006
17238.6 0.000189174
17243.7 0.000189351
17248.7 0.000189538
17253.8 0.000189734
17258.8 0.000189942
17263.9 0.000190223
17268.9 0.000190534
17274 0.000190844
17279 0.000191155
17284.1 0.000191466
17289.1 0.000191777
17294.2 0.000192089
17299.2 0.000192401
17304.3 0.000192712
17309.3 0.000193022
17314.3 0.000193329
17319.4 0.000193634
17324.4 0.000193917
17329.5 0.000194196
17334.5 0.000194474
17339.6 0.000194748
17344.6 0.000195019
17349.7 0.000195285
17354.7 0.000195547
17359.8 0.000195804
17364.8 0.000196055
17369.9 0.0001963
17374.9 0.000196539
17380 0.00019677
17385 0.000196993
17390.1 0.000197208
17395.1 0.000197415
17400.1 0.000197614
17405.2 0.000197804
17410.2 0.000197984
17415.3 0.000198155
17420.3 0.000198317
17425.4 0.000198469
17430.4 0.00019861
17435.5 0.000198743
17440.5 0.000198866
17445.6 0.000199005
17450.6 0.000199131
17455.7 0.000199243
17460.7 0.000199342
17465.8 0.000199427
17470.8 0.000199499
17475.8 0.000199556
17480.9 0.0001996
17485.9 0.000199629
17491 0.000199643
17496 0.00019964
17501.1 0.000199619
17506.1 0.000199531
17511.2 0.000199426
17516.2 0.000199314
17521.3 0.000199191
17526.3 0.000199059
17531.4 0.000198915
17536.4 0.000198762
17541.5 0.000198597
17546.5 0.000198423
17551.6 0.00019824
17556.6 0.000198048
17561.6 0.000197853
17566.7 0.000197716
17571.7 0.000197586
17576.8 0.000197434
17581.8 0.000197265
17586.9 0.000197078
17591.9 0.000196874
17597 0.000196655
17602 0.000196419
17607.1 0.000196166
17612.1 0.000195896
17617.2 0.000195607
17622.2 0.000195295
17627.3 0.0001949
17632.3 0.000194431
17637.3 0.000193966
17642.4 0.000193498
17647.4 0.000193027
17652.5 0.00019255
17657.5 0.000192068
17662.6 0.00019158
17667.6 0.000191088
17672.7 0.000190591
17677.7 0.000190091
17682.8 0.00018959
17687.8 0.000189102
17692.9 0.000188715
17697.9 0.000188297
17703 0.000187863
17708 0.000187414
17713 0.000186951
17718.1 0.000186475
17723.1 0.000185988
17728.2 0.000185488
17733.2 0.000184976
17738.3 0.000184452
17743.3 0.000183914
17748.4 0.00018336
17753.4 0.000182744
17758.5 0.000182107
17763.5 0.00018147
17768.6 0.00018083
17773.6 0.000180186
17778.7 0.000179537
17783.7 0.000178885
17788.8 0.000178227
17793.8 0.000177565
17798.8 0.000176899
17803.9 0.000176228
17808.9 0.000175552
17814 0.000174872
17819 0.000174187
17824.1 0.000173499
17829.1 0.000172806
17834.2 0.00017211
17839.2 0.000171411
17844.3 0.000170709
17849.3 0.000170004
17854.4 0.000169297
17859.4 0.000168588
17864.5 0.000167878
17869.5 0.000167169
17874.5 0.000166465
17879.6 0.000165815
17884.6 0.000165184
17889.7 0.000164537
17894.7 0.000163877
17899.8 0.000163207
17904.8 0.000162527
17909.9 0.000161839
17914.9 0.000161141
17920 0.000160435
17925 0.000159718
17930.1 0.00015899
17935.1 0.000158248
17940.2 0.000157481
17945.2 0.000156593
17950.3 0.000155712
17955.3 0.000154845
17960.3 0.000153987
17965.4 0.000153135
17970.4 0.000152289
17975.5 0.000151448
17980.5 0.000150613
17985.6 0.000149783
17990.6 0.000148959
17995.7 0.000148144
18000.7 0.000147342
18005.8 0.000146569
18010.8 0.000145922
18015.9 0.00014524
18020.9 0.000144541
18026 0.00014383
18031 0.000143109
18036 0.000142379
18041.1 0.00014164
18046.1 0.000140893
18051.2 0.000140137
