W E1 E2
13657.1 -0.00139942 0.000556229
13662.1 -0.00140634 0.000553461
13667.1 -0.00141331 0.000550652
13672.2 -0.00142032 0.000547802
13677.2 -0.00142738 0.000544909
13682.2 -0.00143448 0.000541974
13687.2 -0.00144163 0.000538996
13692.3 -0.00144883 0.000535973
13697.3 -0.00145608 0.000532905
13702.3 -0.00146337 0.000529792
13707.3 -0.00147071 0.000526632
13712.3 -0.0014781 0.000523425
13717.4 -0.00148554 0.00052017
13722.4 -0.00149303 0.000516866
13727.4 -0.00150057 0.000513513
13732.4 -0.00150816 0.000510109
13737.4 -0.00151581 0.000506654
13742.5 -0.0015235 0.000503146
13747.5 -0.00153125 0.000499585
13752.5 -0.00153905 0.00049597
13757.5 -0.00154691 0.0004923
13762.6 -0.00155482 0.000488574
13767.6 -0.00156279 0.000484791
13772.6 -0.00157081 0.00048095
13777.6 -0.00157889 0.00047705
13782.6 -0.00158702 0.000473089
13787.7 -0.00159521 0.000469067
13792.7 -0.00160347 0.000464983
13797.7 -0.00161178 0.000460835
13802.7 -0.00162014 0.000456623
13807.7 -0.00162857 0.000452344
13812.8 -0.00163707 0.000447999
13817.8 -0.00164562 0.000443585
13822.8 -0.00165423 0.000439101
13827.8 -0.00166291 0.000434546
13832.9 -0.00167165 0.000429918
13837.9 -0.00168046 0.000425217
13842.9 -0.00168933 0.000420441
13847.9 -0.00169827 0.000415587
13852.9 -0.00170727 0.000410656
13858 -0.00171634 0.000405644
13863 -0.00172548 0.000400551
13868 -0.00173469 0.000395376
13873 -0.00174396 0.000390115
13878 -0.00175331 0.000384768
13883.1 -0.00176273 0.000379333
13888.1 -0.00177222 0.000373808
13893.1 -0.00178178 0.000368191
13898.1 -0.00179142 0.000362481
13903.2 -0.00180113 0.000356675
13908.2 -0.00181092 0.000350771
13913.2 -0.00182078 0.000344767
13918.2 -0.00183072 0.000338662
13923.2 -0.00184073 0.000332453
13928.3 -0.00185083 0.000326137
13933.3 -0.001861 0.000319713
13938.3 -0.00187125 0.000313178
13943.3 -0.00188159 0.00030653
13948.4 -0.001892 0.000299766
13953.4 -0.0019025 0.000292884
13958.4 -0.00191308 0.000285881
13963.4 -0.00192374 0.000278754
13968.4 -0.00193449 0.000271502
13973.5 -0.00194533 0.000264119
13978.5 -0.00195625 0.000256605
13983.5 -0.00196726 0.000248956
13988.5 -0.00197836 0.000241169
13993.5 -0.00198954 0.00023324
13998.6 -0.00200082 0.000225166
14003.6 -0.00201219 0.000216945
14008.6 -0.00202365 0.000208572
14013.6 -0.0020352 0.000200044
14018.7 -0.00204684 0.000191357
14023.7 -0.00205858 0.000182508
14028.7 -0.00207041 0.000173493
14033.7 -0.00208234 0.000164307
14038.7 -0.00209436 0.000154947
14043.8 -0.00210648 0.000145408
14048.8 -0.0021187 0.000135686
14053.8 -0.00213101 0.000125777
14058.8 -0.00214343 0.000115676
14063.8 -0.00215594 0.000105377
14068.9 -0.00216855 9.48771e-05
14073.9 -0.00218126 8.41702e-05
14078.9 -0.00219407 7.32512e-05
14083.9 -0.00220699 6.21148e-05
14089 -0.00222 5.07555e-05
14094 -0.00223312 3.91677e-05
14099 -0.00224634 2.73454e-05
14104 -0.00225966 1.52825e-05
14109 -0.00227308 2.97303e-06
