W N1 N2
14134.8 -0.000623918 -8.37489e-06
14139.9 -0.000627319 -1.18998e-05
14144.9 -0.000630761 -1.56039e-05
14150 -0.000634155 -1.9392e-05
14155 -0.000637537 -2.32539e-05
14160.1 -0.000640915 -2.71913e-05
14165.1 -0.000644288 -3.12056e-05
14170.2 -0.000647651 -3.52984e-05
14175.2 -0.000650997 -3.94709e-05
14180.2 -0.000654285 -4.37232e-05
14185.3 -0.000657574 -4.78959e-05
14190.3 -0.000660954 -5.21521e-05
14195.4 -0.000664371 -5.64973e-05
14200.4 -0.000667816 -6.09335e-05
14205.5 -0.000671282 -6.54632e-05
14210.5 -0.000674764 -7.00885e-05
14215.6 -0.000678256 -7.48117e-05
14220.6 -0.000681741 -7.96341e-05
14225.7 -0.000685244 -8.45041e-05
14230.7 -0.000688786 -8.94817e-05
14235.8 -0.000692349 -9.45693e-05
14240.8 -0.000695927 -9.97696e-05
14245.9 -0.000699516 -0.000105085
14250.9 -0.000703113 -0.000110519
14255.9 -0.00070671 -0.000116074
14261 -0.00071029 -0.000121752
14266 -0.000713879 -0.000127495
14271.1 -0.000717504 -0.000133372
14276.1 -0.000721143 -0.000139387
14281.2 -0.000724791 -0.000145542
14286.2 -0.000728443 -0.000151841
14291.3 -0.000732099 -0.000158289
14296.3 -0.000735758 -0.00016489
14301.4 -0.000739434 -0.000171652
14306.4 -0.000743096 -0.000178661
14311.5 -0.000746678 -0.000185836
14316.5 -0.000750209 -0.000193173
14321.6 -0.000753687 -0.000200678
14326.6 -0.000757106 -0.000208354
14331.7 -0.000760455 -0.000216202
14336.7 -0.000763716 -0.000224225
14341.7 -0.000766836 -0.000232413
14346.8 -0.000769848 -0.000240524
14351.8 -0.000772999 -0.000248798
14356.9 -0.000776153 -0.000257288
14361.9 -0.000779279 -0.000265994
14367 -0.000782364 -0.000274918
14372 -0.000785394 -0.000284064
14377.1 -0.000788361 -0.000293438
14382.1 -0.000791264 -0.000303046
14387.2 -0.000794095 -0.000312952
14392.2 -0.000796753 -0.000323114
14397.3 -0.000799266 -0.000333508
14402.3 -0.000801623 -0.000344139
14407.4 -0.00080381 -0.000355007
14412.4 -0.000805803 -0.000366112
14417.4 -0.000807569 -0.000377448
14422.5 -0.000809035 -0.000388993
14427.5 -0.000810057 -0.000400389
14432.6 -0.000811408 -0.000411747
14437.6 -0.000812772 -0.000423448
14442.7 -0.000814057 -0.00043547
14447.7 -0.000815229 -0.000447808
14452.8 -0.000816272 -0.000460466
14457.8 -0.000817185 -0.000473454
14462.9 -0.000818006 -0.000486799
14467.9 -0.000818991 -0.000500769
14473 -0.000819054 -0.00051575
14478 -0.00081843 -0.00053086
14483.1 -0.000817263 -0.000546163
14488.1 -0.00081557 -0.000561662
14493.2 -0.000813335 -0.000577348
14498.2 -0.000810525 -0.000593201
14503.2 -0.000807074 -0.000609177
14508.3 -0.000802786 -0.000625159
14513.3 -0.000798174 -0.000640229
14518.4 -0.000793789 -0.000655623
14523.4 -0.000789104 -0.000671309
14528.5 -0.000784027 -0.000687235
14533.5 -0.000778516 -0.000703371
14538.6 -0.000772547 -0.000719697
14543.6 -0.000766116 -0.000736206
14548.7 -0.000759273 -0.00075292
14553.7 -0.000751988 -0.000770355
14558.8 -0.000743339 -0.000787968
14563.8 -0.000733814 -0.000805424
14568.9 -0.000723481 -0.000822736
14573.9 -0.000712358 -0.00083988
14578.9 -0.000700447 -0.000856818
14584 -0.000687745 -0.000873504
14589 -0.000674234 -0.000889875
14594.1 -0.000659811 -0.000905749
14599.1 -0.000645083 -0.000920943
14604.2 -0.000629835 -0.000935909
14609.2 -0.000613997 -0.000950535
14614.3 -0.000597574 -0.000964772
14619.3 -0.000580597 -0.000978585
14624.4 -0.000563116 -0.000991963
14629.4 -0.000545216 -0.00100493
14634.5 -0.0005271 -0.00101763
14639.5 -0.000508143 -0.00103134
14644.6 -0.000487078 -0.00104398
14649.6 -0.000465141 -0.0010554
14654.7 -0.000442528 -0.0010657
14659.7 -0.000419352 -0.00107489
14664.7 -0.000395702 -0.00108298
14669.8 -0.000371651 -0.00108994
14674.8 -0.000347253 -0.00109572
14679.9 -0.000322503 -0.00110006
14684.9 -0.000298333 -0.00110308
14690 -0.000274292 -0.00110532
14695 -0.000250357 -0.00110667
14700.1 -0.000226567 -0.00110712
14705.1 -0.000202976 -0.00110668
14710.2 -0.00017964 -0.00110539
14715.2 -0.000156622 -0.00110332
14720.3 -0.000134009 -0.00110056
14725.3 -0.000111486 -0.00109764
14730.4 -8.86919e-05 -0.00109362
14735.4 -6.62085e-05 -0.00108859
14740.4 -4.41136e-05 -0.00108267
14745.5 -2.24526e-05 -0.00107594
14750.5 -1.2572e-06 -0.00106843
14755.6 1.94508e-05 -0.00106019
14760.6 3.96602e-05 -0.00105124
14765.7 5.93905e-05 -0.00104152
14770.7 7.81422e-05 -0.00103101
14775.8 9.62228e-05 -0.00102023
14780.8 0.000113723 -0.00100906
14785.9 0.00013066 -0.000997475
14790.9 0.000147045 -0.000985485
14796 0.000162894 -0.000973071
14801 0.000178224 -0.000960188
14806.1 0.000193071 -0.000946698
14811.1 0.000206996 -0.000931737
14816.1 0.000218645 -0.000917222
14821.2 0.000229648 -0.000903244
14826.2 0.000240088 -0.00088952
14831.3 0.00025 -0.000875969
14836.3 0.000259408 -0.000862557
14841.4 0.000268331 -0.000849272
14846.4 0.000276781 -0.000836121
14851.5 0.00028477 -0.000823137
14856.5 0.000292498 -0.000810431
14861.6 0.000299971 -0.00079763
14866.6 0.00030703 -0.000784835
14871.7 0.000313679 -0.000772086
14876.7 0.000319924 -0.000759402
14881.8 0.000325771 -0.000746803
14886.8 0.000331227 -0.000734305
14891.9 0.000336301 -0.000721931
14896.9 0.000340997 -0.000709729
14901.9 0.000345508 -0.000697717
14907 0.000349706 -0.000685702
14912 0.000353552 -0.000673779
14917.1 0.000357053 -0.000661978
14922.1 0.000360218 -0.000650319
14927.2 0.000363056 -0.000638825
14932.2 0.000365578 -0.00062752
14937.3 0.000367795 -0.000616443
14942.3 0.000369725 -0.000605727
14947.4 0.000371825 -0.00059516
14952.4 0.000373637 -0.000584566
