W TT
14883.5 0.000341864
14891.8 0.00033101
14900.2 0.000320731
14908.5 0.000311052
14916.8 0.000301583
14925.1 0.000292329
14933.4 0.000283297
14941.8 0.000274541
14950.1 0.000266832
14958.4 0.000259163
14966.7 0.000251589
14975 0.000244159
14983.4 0.000236954
14991.7 0.000231023
15000 0.000225532
15008.3 0.000219946
15016.6 0.000214332
15025 0.000208719
15033.3 0.00020302
15041.6 0.000197133
15049.9 0.000191429
15058.2 0.000185892
15066.6 0.000180527
15074.9 0.000175343
15083.2 0.000170417
15091.5 0.000165652
15099.8 0.000161033
15108.2 0.000156554
15116.5 0.000152192
15124.8 0.000147734
15133.1 0.000143205
15141.4 0.000138948
15149.8 0.000134907
15158.1 0.000131049
15166.4 0.000127332
15174.7 0.000123553
15183 0.00011998
15191.3 0.0001166
15199.7 0.000113382
15208 0.000110295
15216.3 0.000107231
15224.6 0.000104204
15232.9 0.000101365
15241.3 9.8674e-05
15249.6 9.61096e-05
15257.9 9.36509e-05
15266.2 9.12273e-05
15274.5 8.89294e-05
15282.9 8.67561e-05
15291.2 8.46981e-05
15299.5 8.27554e-05
15307.8 8.09604e-05
15316.1 7.93704e-05
15324.5 7.77832e-05
15332.8 7.62404e-05
15341.1 7.47539e-05
15349.4 7.33385e-05
15357.7 7.20876e-05
15366.1 7.08712e-05
15374.4 6.96445e-05
15382.7 6.84273e-05
15391 6.72255e-05
15399.3 6.60376e-05
15407.7 6.48401e-05
15416 6.37018e-05
15424.3 6.26173e-05
15432.6 6.15876e-05
15440.9 6.06206e-05
15449.3 5.97539e-05
15457.6 5.90075e-05
15465.9 5.82055e-05
15474.2 5.73976e-05
15482.5 5.6591e-05
15490.8 5.57818e-05
15499.2 5.49113e-05
15507.5 5.40913e-05
15515.8 5.33581e-05
15524.1 5.26915e-05
15532.4 5.20901e-05
15540.8 5.1567e-05
15549.1 5.12076e-05
15557.4 5.08073e-05
15565.7 5.03789e-05
15574 4.99419e-05
15582.4 4.95e-05
15590.7 4.90467e-05
15599 4.85526e-05
15607.3 4.81104e-05
15615.6 4.76971e-05
15624 4.73024e-05
15632.3 4.69176e-05
15640.6 4.65258e-05
15648.9 4.60992e-05
15657.2 4.57448e-05
15665.6 4.54287e-05
15673.9 4.51432e-05
15682.2 4.48892e-05
15690.5 4.46873e-05
15698.8 4.45599e-05
15707.2 4.4348e-05
15715.5 4.4094e-05
15723.8 4.37995e-05
15732.1 4.34539e-05
15740.4 4.30098e-05
15748.8 4.24577e-05
15757.1 4.20051e-05
15765.4 4.15752e-05
15773.7 4.11519e-05
15782 4.07292e-05
15790.3 4.03174e-05
15798.7 3.99099e-05
15807 3.94269e-05
15815.3 3.88861e-05
15823.6 3.82826e-05
15831.9 3.76039e-05
15840.3 3.68083e-05
15848.6 3.59058e-05
15856.9 3.50367e-05
15865.2 3.41425e-05
15873.5 3.3211e-05
15881.9 3.22412e-05
15890.2 3.12634e-05
15898.5 3.02409e-05
15906.8 2.89853e-05
15915.1 2.75539e-05
15923.5 2.59449e-05
15931.8 2.41461e-05
15940.1 2.21272e-05
15948.4 1.99415e-05
15956.7 1.76795e-05
15965.1 1.52742e-05
15973.4 1.27122e-05
15981.7 9.98989e-06
15990 7.1181e-06
15998.3 3.96988e-06
16006.7 4.46396e-07
16015 -3.34454e-06
16023.3 -7.38428e-06
16031.6 -1.16548e-05
16039.9 -1.61345e-05
16048.3 -2.07239e-05
16056.6 -2.53392e-05
16064.9 -3.00048e-05
16073.2 -3.46674e-05
16081.5 -3.92623e-05
16089.9 -4.37153e-05
16098.2 -4.79987e-05
16106.5 -5.20941e-05
