W T
15840.7 3.67593e-05
15845.7 3.636e-05
15850.8 3.59987e-05
15855.8 3.56407e-05
15860.9 3.52789e-05
15865.9 3.49104e-05
15870.9 3.45335e-05
15876 3.41484e-05
15881 3.37568e-05
15886.1 3.33648e-05
15891.1 3.30098e-05
15896.2 3.25693e-05
15901.2 3.20412e-05
15906.3 3.14567e-05
15911.3 3.08214e-05
15916.4 3.01364e-05
15921.4 2.94013e-05
15926.5 2.86144e-05
15931.5 2.77728e-05
15936.6 2.68705e-05
15941.6 2.58843e-05
15946.6 2.49171e-05
15951.7 2.39498e-05
15956.7 2.29551e-05
15961.8 2.19273e-05
15966.8 2.08634e-05
15971.9 1.97617e-05
15976.9 1.86216e-05
15982 1.74436e-05
15987 1.62305e-05
15992.1 1.49976e-05
15997.1 1.36179e-05
16002.2 1.21153e-05
16007.2 1.05314e-05
16012.3 8.87119e-06
16017.3 7.13697e-06
16022.4 5.3302e-06
16027.4 3.45205e-06
16032.4 1.50364e-06
16037.5 -5.14088e-07
16042.5 -2.60167e-06
16047.6 -4.70134e-06
16052.6 -6.82172e-06
16057.7 -8.98679e-06
16062.7 -1.11948e-05
16067.8 -1.34426e-05
16072.8 -1.5726e-05
16077.9 -1.80402e-05
16082.9 -2.03799e-05
16088 -2.27389e-05
16093 -2.51105e-05
16098.1 -2.7533e-05
16103.1 -3.00017e-05
16108.1 -3.24645e-05
16113.2 -3.49107e-05
16118.2 -3.73292e-05
16123.3 -3.97084e-05
16128.3 -4.20362e-05
16133.4 -4.42997e-05
16138.4 -4.64858e-05
16143.5 -4.85804e-05
16148.5 -5.05517e-05
16153.6 -5.23609e-05
16158.6 -5.4042e-05
16163.7 -5.55811e-05
16168.7 -5.69655e-05
16173.8 -5.81831e-05
16178.8 -5.92221e-05
16183.9 -6.00717e-05
16188.9 -6.0722e-05
16193.9 -6.1164e-05
16199 -6.13902e-05
16204 -6.14015e-05
16209.1 -6.11826e-05
16214.1 -6.07293e-05
16219.2 -6.00388e-05
16224.2 -5.91099e-05
16229.3 -5.79428e-05
16234.3 -5.65393e-05
16239.4 -5.49023e-05
16244.4 -5.30365e-05
16249.5 -5.0947e-05
16254.5 -4.86298e-05
16259.6 -4.61057e-05
16264.6 -4.33925e-05
16269.6 -4.04998e-05
16274.7 -3.74386e-05
16279.7 -3.4221e-05
16284.8 -3.08594e-05
16289.8 -2.73666e-05
16294.9 -2.37559e-05
16299.9 -2.00404e-05
16305 -1.62325e-05
16310 -1.23496e-05
16315.1 -8.40715e-06
16320.1 -4.41591e-06
16325.2 -3.87534e-07
16330.2 3.66671e-06
16335.3 7.73599e-06
16340.3 1.181e-05
16345.3 1.5879e-05
16350.4 1.99337e-05
16355.4 2.39651e-05
16360.5 2.79503e-05
16365.5 3.18784e-05
16370.6 3.57604e-05
16375.6 3.95909e-05
16380.7 4.33651e-05
16385.7 4.7079e-05
16390.8 5.07293e-05
16395.8 5.4313e-05
16400.9 5.78279e-05
16405.9 6.12726e-05
16411 6.46477e-05
16416 6.7985e-05
16421.1 7.12499e-05
16426.1 7.4437e-05
16431.1 7.75464e-05
16436.2 8.05777e-05
16441.2 8.35308e-05
16446.3 8.64054e-05
16451.3 8.92015e-05
16456.4 9.19186e-05
16461.4 9.45553e-05
16466.5 9.70959e-05
16471.5 9.9501e-05
16476.6 0.000101843
16481.6 0.000104117
16486.7 0.000106324
16491.7 0.000108465
16496.8 0.000110541
16501.8 0.000112554
16506.8 0.000114506
16511.9 0.0001164
16516.9 0.000118241
16522 0.000120076
16527 0.000121898
16532.1 0.000123652
16537.1 0.000125344
16542.2 0.000126978
16547.2 0.000128555
16552.3 0.000130076
16557.3 0.000131543
16562.4 0.000132957
16567.4 0.000134317
16572.5 0.000135621
16577.5 0.000136821
16582.6 0.000137956
16587.6 0.000139057
16592.6 0.000140121
16597.7 0.000141149
16602.7 0.000142141
16607.8 0.000143099
16612.8 0.000144023
16617.9 0.000144916
16622.9 0.000145779
16628 0.000146619
16633 0.000147488
16638.1 0.000148338
16643.1 0.000149149
16648.2 0.000149924
16653.2 0.000150667
16658.3 0.000151379
16663.3 0.000152061
16668.3 0.000152715
16673.4 0.000153341
16678.4 0.000153942
16683.5 0.000154521
16688.5 0.000155099
16693.6 0.000155656
16698.6 0.000156184
16703.7 0.000156686
16708.7 0.000157163
16713.8 0.000157614
16718.8 0.000158042
16723.9 0.000158447
16728.9 0.000158827
16734 0.000159184
16739 0.000159512
16744.1 0.00015977
16749.1 0.000159997
16754.1 0.000160216
16759.2 0.000160424
16764.2 0.00016062
16769.3 0.000160804
16774.3 0.000160977
16779.4 0.000161139
16784.4 0.000161291
16789.5 0.000161436
16794.5 0.000161577
16799.6 0.000161764
16804.6 0.000161968
16809.7 0.000162147
16814.7 0.000162309
16819.8 0.000162454
16824.8 0.000162584
16829.8 0.0001627
16834.9 0.000162801
16839.9 0.000162889
16845 0.000162963
16850 0.00016302
16855.1 0.000163035
16860.1 0.000162995
16865.2 0.000162959
16870.2 0.000162923
16875.3 0.000162884
16880.3 0.000162843
16885.4 0.000162799
16890.4 0.000162753
16895.5 0.000162706
16900.5 0.000162659
